Month,PLANT_NAME,MATERIAL_NAME,UNRESRICTED_STOCK
2024-01-01,CHINA-WAREHOUSE,MAT-0001,2225625
2024-01-01,CHINA-WAREHOUSE,MAT-0002,1175
2024-01-01,CHINA-WAREHOUSE,MAT-0003,112540
2024-01-01,CHINA-WAREHOUSE,MAT-0004,83925
2024-01-01,CHINA-WAREHOUSE,MAT-0005,0
2024-01-01,CHINA-WAREHOUSE,MAT-0006,3850
2024-01-01,CHINA-WAREHOUSE,MAT-0007,116275
2024-01-01,CHINA-WAREHOUSE,MAT-0008,1250
2024-01-01,CHINA-WAREHOUSE,MAT-0009,618800
2024-01-01,CHINA-WAREHOUSE,MAT-0010,0
2024-01-01,CHINA-WAREHOUSE,MAT-0011,0
2024-01-01,CHINA-WAREHOUSE,MAT-0012,0
2024-01-01,CHINA-WAREHOUSE,MAT-0013,329600
2024-01-01,CHINA-WAREHOUSE,MAT-0014,22
2024-01-01,CHINA-WAREHOUSE,MAT-0015,1184375
2024-01-01,CHINA-WAREHOUSE,MAT-0016,0
2024-01-01,CHINA-WAREHOUSE,MAT-0017,119650
2024-01-01,CHINA-WAREHOUSE,MAT-0018,0
2024-01-01,CHINA-WAREHOUSE,MAT-0019,0
2024-01-01,CHINA-WAREHOUSE,MAT-0020,0
2024-01-01,CHINA-WAREHOUSE,MAT-0021,0
2024-01-01,CHINA-WAREHOUSE,MAT-0022,0
2024-01-01,CHINA-WAREHOUSE,MAT-0023,0
2024-01-01,CHINA-WAREHOUSE,MAT-0024,0
2024-01-01,CHINA-WAREHOUSE,MAT-0025,0
2024-01-01,CHINA-WAREHOUSE,MAT-0026,0
2024-01-01,CHINA-WAREHOUSE,MAT-0027,0
2024-01-01,CHINA-WAREHOUSE,MAT-0028,0
2024-01-01,CHINA-WAREHOUSE,MAT-0029,0
2024-01-01,CHINA-WAREHOUSE,MAT-0030,0
2024-01-01,CHINA-WAREHOUSE,MAT-0031,0
2024-01-01,CHINA-WAREHOUSE,MAT-0032,500700
2024-01-01,CHINA-WAREHOUSE,MAT-0033,0
2024-01-01,CHINA-WAREHOUSE,MAT-0034,0
2024-01-01,CHINA-WAREHOUSE,MAT-0035,304750
2024-01-01,CHINA-WAREHOUSE,MAT-0036,0
2024-01-01,CHINA-WAREHOUSE,MAT-0037,0
2024-01-01,CHINA-WAREHOUSE,MAT-0038,0
2024-01-01,CHINA-WAREHOUSE,MAT-0039,0
2024-01-01,CHINA-WAREHOUSE,MAT-0040,0
2024-01-01,CHINA-WAREHOUSE,MAT-0041,0
2024-01-01,CHINA-WAREHOUSE,MAT-0042,148500
2024-01-01,CHINA-WAREHOUSE,MAT-0043,0
2024-01-01,CHINA-WAREHOUSE,MAT-0044,0
2024-01-01,CHINA-WAREHOUSE,MAT-0045,159
2024-01-01,CHINA-WAREHOUSE,MAT-0046,898450
2024-01-01,CHINA-WAREHOUSE,MAT-0047,607150
2024-01-01,CHINA-WAREHOUSE,MAT-0048,24
2024-01-01,CHINA-WAREHOUSE,MAT-0049,20175
2024-01-01,CHINA-WAREHOUSE,MAT-0050,224100
2024-01-01,CHINA-WAREHOUSE,MAT-0051,0
2024-01-01,CHINA-WAREHOUSE,MAT-0052,8400
2024-01-01,CHINA-WAREHOUSE,MAT-0053,86775
2024-01-01,CHINA-WAREHOUSE,MAT-0054,5000
2024-01-01,CHINA-WAREHOUSE,MAT-0055,573525
2024-01-01,CHINA-WAREHOUSE,MAT-0056,149650
2024-01-01,CHINA-WAREHOUSE,MAT-0057,33075
2024-01-01,CHINA-WAREHOUSE,MAT-0058,0
2024-01-01,CHINA-WAREHOUSE,MAT-0059,0
2024-01-01,CHINA-WAREHOUSE,MAT-0060,0
2024-01-01,CHINA-WAREHOUSE,MAT-0061,0
2024-01-01,CHINA-WAREHOUSE,MAT-0062,0
2024-01-01,CHINA-WAREHOUSE,MAT-0063,0
2024-01-01,CHINA-WAREHOUSE,MAT-0064,49875
2024-01-01,CHINA-WAREHOUSE,MAT-0065,593150
2024-01-01,CHINA-WAREHOUSE,MAT-0066,0
2024-01-01,CHINA-WAREHOUSE,MAT-0067,0
2024-01-01,CHINA-WAREHOUSE,MAT-0068,0
2024-01-01,CHINA-WAREHOUSE,MAT-0069,0
2024-01-01,CHINA-WAREHOUSE,MAT-0070,0
2024-01-01,CHINA-WAREHOUSE,MAT-0071,0
2024-01-01,CHINA-WAREHOUSE,MAT-0072,0
2024-01-01,CHINA-WAREHOUSE,MAT-0073,0
2024-01-01,CHINA-WAREHOUSE,MAT-0074,0
2024-01-01,CHINA-WAREHOUSE,MAT-0075,0
2024-01-01,CHINA-WAREHOUSE,MAT-0076,0
2024-01-01,CHINA-WAREHOUSE,MAT-0077,0
2024-01-01,CHINA-WAREHOUSE,MAT-0078,0
2024-01-01,CHINA-WAREHOUSE,MAT-0079,0
2024-01-01,CHINA-WAREHOUSE,MAT-0080,0
2024-01-01,CHINA-WAREHOUSE,MAT-0081,0
2024-01-01,CHINA-WAREHOUSE,MAT-0082,373550
2024-01-01,CHINA-WAREHOUSE,MAT-0083,0
2024-01-01,CHINA-WAREHOUSE,MAT-0084,115075
2024-01-01,CHINA-WAREHOUSE,MAT-0085,15900
2024-01-01,CHINA-WAREHOUSE,MAT-0086,0
2024-01-01,CHINA-WAREHOUSE,MAT-0087,0
2024-01-01,CHINA-WAREHOUSE,MAT-0088,0
2024-01-01,CHINA-WAREHOUSE,MAT-0089,0
2024-01-01,CHINA-WAREHOUSE,MAT-0090,0
2024-01-01,CHINA-WAREHOUSE,MAT-0091,0
2024-01-01,CHINA-WAREHOUSE,MAT-0092,0
2024-01-01,CHINA-WAREHOUSE,MAT-0093,0
2024-01-01,CHINA-WAREHOUSE,MAT-0094,1800
2024-01-01,CHINA-WAREHOUSE,MAT-0095,1685
2024-01-01,CHINA-WAREHOUSE,MAT-0096,222650
2024-01-01,CHINA-WAREHOUSE,MAT-0097,75000
2024-01-01,CHINA-WAREHOUSE,MAT-0098,175750
2024-01-01,CHINA-WAREHOUSE,MAT-0099,989600
2024-01-01,CHINA-WAREHOUSE,MAT-0100,11693
2024-01-01,CHINA-WAREHOUSE,MAT-0101,173100
2024-01-01,CHINA-WAREHOUSE,MAT-0102,24700
2024-01-01,CHINA-WAREHOUSE,MAT-0103,65375
2024-01-01,CHINA-WAREHOUSE,MAT-0104,14625
2024-01-01,CHINA-WAREHOUSE,MAT-0105,0
2024-01-01,CHINA-WAREHOUSE,MAT-0106,0
2024-01-01,CHINA-WAREHOUSE,MAT-0107,0
2024-01-01,CHINA-WAREHOUSE,MAT-0108,0
2024-01-01,CHINA-WAREHOUSE,MAT-0109,0
2024-01-01,CHINA-WAREHOUSE,MAT-0110,0
2024-01-01,CHINA-WAREHOUSE,MAT-0111,79750
2024-01-01,CHINA-WAREHOUSE,MAT-0112,49325
