Unnamed: 0,Month,PLANT_NAME,MATERIAL_NAME,ACTUAL_OUTBOUND_MT,PREDICTED_OUTBOUND_MT,LABEL
,2024-01-01,CHINA-WAREHOUSE,MAT-0001,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0001
,2024-01-01,CHINA-WAREHOUSE,MAT-0002,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0002
,2024-01-01,CHINA-WAREHOUSE,MAT-0003,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0003
3.0,2024-01-01,CHINA-WAREHOUSE,MAT-0004,0.0,1.0391,2024-01-01 | CHINA-WAREHOUSE | MAT-0004
4.0,2024-01-01,CHINA-WAREHOUSE,MAT-0005,0.03,0.0201,2024-01-01 | CHINA-WAREHOUSE | MAT-0005
5.0,2024-01-01,CHINA-WAREHOUSE,MAT-0006,0.0,0.0644,2024-01-01 | CHINA-WAREHOUSE | MAT-0006
6.0,2024-01-01,CHINA-WAREHOUSE,MAT-0007,141.65,124.62479999999988,2024-01-01 | CHINA-WAREHOUSE | MAT-0007
7.0,2024-01-01,CHINA-WAREHOUSE,MAT-0008,0.0,0.0058,2024-01-01 | CHINA-WAREHOUSE | MAT-0008
8.0,2024-01-01,CHINA-WAREHOUSE,MAT-0009,936.0,652.7040000000001,2024-01-01 | CHINA-WAREHOUSE | MAT-0009
9.0,2024-01-01,CHINA-WAREHOUSE,MAT-0010,0.0,2.0118,2024-01-01 | CHINA-WAREHOUSE | MAT-0010
10.0,2024-01-01,CHINA-WAREHOUSE,MAT-0011,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0011
11.0,2024-01-01,CHINA-WAREHOUSE,MAT-0012,0.0,0.0825,2024-01-01 | CHINA-WAREHOUSE | MAT-0012
12.0,2024-01-01,CHINA-WAREHOUSE,MAT-0013,209.68,169.58480000000014,2024-01-01 | CHINA-WAREHOUSE | MAT-0013
13.0,2024-01-01,CHINA-WAREHOUSE,MAT-0014,0.0,5.1930000000000005,2024-01-01 | CHINA-WAREHOUSE | MAT-0014
14.0,2024-01-01,CHINA-WAREHOUSE,MAT-0015,552.96,591.4930999999998,2024-01-01 | CHINA-WAREHOUSE | MAT-0015
15.0,2024-01-01,CHINA-WAREHOUSE,MAT-0016,0.0,2.0298000000000003,2024-01-01 | CHINA-WAREHOUSE | MAT-0016
16.0,2024-01-01,CHINA-WAREHOUSE,MAT-0017,0.35,7.73840000000001,2024-01-01 | CHINA-WAREHOUSE | MAT-0017
17.0,2024-01-01,CHINA-WAREHOUSE,MAT-0018,0.0,6.119400000000001,2024-01-01 | CHINA-WAREHOUSE | MAT-0018
18.0,2024-01-01,CHINA-WAREHOUSE,MAT-0019,0.0,42.3987,2024-01-01 | CHINA-WAREHOUSE | MAT-0019
19.0,2024-01-01,CHINA-WAREHOUSE,MAT-0020,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0020
20.0,2024-01-01,CHINA-WAREHOUSE,MAT-0021,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0021
21.0,2024-01-01,CHINA-WAREHOUSE,MAT-0022,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0022
22.0,2024-01-01,CHINA-WAREHOUSE,MAT-0023,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0023
23.0,2024-01-01,CHINA-WAREHOUSE,MAT-0024,0.0,1.485,2024-01-01 | CHINA-WAREHOUSE | MAT-0024
24.0,2024-01-01,CHINA-WAREHOUSE,MAT-0025,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0025
25.0,2024-01-01,CHINA-WAREHOUSE,MAT-0026,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0026
26.0,2024-01-01,CHINA-WAREHOUSE,MAT-0027,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0027
27.0,2024-01-01,CHINA-WAREHOUSE,MAT-0028,0.0,0.02,2024-01-01 | CHINA-WAREHOUSE | MAT-0028
28.0,2024-01-01,CHINA-WAREHOUSE,MAT-0029,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0029
29.0,2024-01-01,CHINA-WAREHOUSE,MAT-0030,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0030
30.0,2024-01-01,CHINA-WAREHOUSE,MAT-0031,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0031
31.0,2024-01-01,CHINA-WAREHOUSE,MAT-0032,0.0,18.30870000000001,2024-01-01 | CHINA-WAREHOUSE | MAT-0032
32.0,2024-01-01,CHINA-WAREHOUSE,MAT-0033,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0033
33.0,2024-01-01,CHINA-WAREHOUSE,MAT-0034,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0034
34.0,2024-01-01,CHINA-WAREHOUSE,MAT-0035,155.43,104.98600000000008,2024-01-01 | CHINA-WAREHOUSE | MAT-0035
35.0,2024-01-01,CHINA-WAREHOUSE,MAT-0036,0.0,0.7426,2024-01-01 | CHINA-WAREHOUSE | MAT-0036
36.0,2024-01-01,CHINA-WAREHOUSE,MAT-0037,0.0,6.32515,2024-01-01 | CHINA-WAREHOUSE | MAT-0037
37.0,2024-01-01,CHINA-WAREHOUSE,MAT-0038,0.0,4.8125,2024-01-01 | CHINA-WAREHOUSE | MAT-0038
38.0,2024-01-01,CHINA-WAREHOUSE,MAT-0039,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0039
39.0,2024-01-01,CHINA-WAREHOUSE,MAT-0040,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0040
40.0,2024-01-01,CHINA-WAREHOUSE,MAT-0041,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0041
41.0,2024-01-01,CHINA-WAREHOUSE,MAT-0042,0.0,12.660199999999998,2024-01-01 | CHINA-WAREHOUSE | MAT-0042
42.0,2024-01-01,CHINA-WAREHOUSE,MAT-0043,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0043
43.0,2024-01-01,CHINA-WAREHOUSE,MAT-0044,0.0,0.2475,2024-01-01 | CHINA-WAREHOUSE | MAT-0044
44.0,2024-01-01,CHINA-WAREHOUSE,MAT-0045,0.0,0.0,2024-01-01 | CHINA-WAREHOUSE | MAT-0045
45.0,2024-01-01,CHINA-WAREHOUSE,MAT-0046,173.51,125.7511000000001,2024-01-01 | CHINA-WAREHOUSE | MAT-0046
46.0,2024-01-01,CHINA-WAREHOUSE,MAT-0047,100.01,143.2146000000002,2024-01-01 | CHINA-WAREHOUSE | MAT-0047
47.0,2024-01-01,CHINA-WAREHOUSE,MAT-0048,0.0,0.1399,2024-01-01 | CHINA-WAREHOUSE | MAT-0048
48.0,2024-01-01,CHINA-WAREHOUSE,MAT-0049,74.5,126.70015000000004,2024-01-01 | CHINA-WAREHOUSE | MAT-0049
49.0,2024-01-01,CHINA-WAREHOUSE,MAT-0050,0.11,9.506200000000003,2024-01-01 | CHINA-WAREHOUSE | MAT-0050
50.0,2024-01-01,CHINA-WAREHOUSE,MAT-0051,0.0,27.3375,2024-01-01 | CHINA-WAREHOUSE | MAT-0051
