MONTH,MATERIAL_NAME,PLANT_NAME,TOTAL_QUANTITY
2024-01,MAT-0001,CHINA-WAREHOUSE,1409.81
2024-01,MAT-0001,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0002,CHINA-WAREHOUSE,0.0
2024-01,MAT-0002,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0003,CHINA-WAREHOUSE,0.0
2024-01,MAT-0003,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0004,CHINA-WAREHOUSE,0.0
2024-01,MAT-0004,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0005,CHINA-WAREHOUSE,0.03
2024-01,MAT-0005,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0006,CHINA-WAREHOUSE,0.0
2024-01,MAT-0006,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0007,CHINA-WAREHOUSE,141.65
2024-01,MAT-0007,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0008,CHINA-WAREHOUSE,0.0
2024-01,MAT-0008,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0009,CHINA-WAREHOUSE,936.0
2024-01,MAT-0009,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0010,CHINA-WAREHOUSE,0.0
2024-01,MAT-0010,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0011,CHINA-WAREHOUSE,0.0
2024-01,MAT-0011,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0012,CHINA-WAREHOUSE,0.0
2024-01,MAT-0012,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0013,CHINA-WAREHOUSE,209.68
2024-01,MAT-0013,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0014,CHINA-WAREHOUSE,0.0
2024-01,MAT-0014,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0015,CHINA-WAREHOUSE,552.96
2024-01,MAT-0015,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0016,CHINA-WAREHOUSE,0.0
2024-01,MAT-0016,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0017,CHINA-WAREHOUSE,0.35
2024-01,MAT-0017,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0018,CHINA-WAREHOUSE,0.0
2024-01,MAT-0018,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0019,CHINA-WAREHOUSE,0.0
2024-01,MAT-0019,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0020,CHINA-WAREHOUSE,0.0
2024-01,MAT-0020,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0021,CHINA-WAREHOUSE,0.0
2024-01,MAT-0021,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0022,CHINA-WAREHOUSE,0.0
2024-01,MAT-0022,SINGAPORE-WAREHOUSE,0.0
2024-01,MAT-0023,CHINA-WAREHOUSE,0.0
2024-01,MAT-0023,SINGAPORE-WAREHOUSE,0.0
